epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1047.29,1.0675,3.36523,1.15683,0.70669,0.14699,0.12456,0.10654,0.78681,1.78709,1.05563,9.23598e-05,9.23598e-05,9.23598e-05
2,2015.07,0.90037,1.57576,1.09404,0.61119,0.17049,0.17282,0.14183,0.72183,1.3303,1.02752,0.000181363,0.000181363,0.000181363
3,3002.97,0.85451,1.36213,1.07229,0.57583,0.2058,0.19343,0.15607,0.7304,1.3006,1.04011,0.000266697,0.000266697,0.000266697
4,3979.45,0.83512,1.27161,1.06291,0.43885,0.24402,0.21351,0.1703,0.71132,1.17879,1.00801,0.000261487,0.000261487,0.000261487
5,4967.34,0.81011,1.1947,1.05213,0.47504,0.25901,0.2405,0.19545,0.70393,1.13262,1.0156,0.000255982,0.000255982,0.000255982
6,5941.21,0.79113,1.1362,1.03851,0.58659,0.27368,0.26728,0.21879,0.65887,1.02267,0.99406,0.000250478,0.000250478,0.000250478
7,6918.37,0.78136,1.09797,1.033,0.52602,0.28731,0.27246,0.22211,0.64556,0.98019,0.98719,0.000244974,0.000244974,0.000244974
8,7901.54,0.7635,1.06467,1.02566,0.57371,0.30255,0.29399,0.23721,0.63062,0.9704,0.97727,0.000239469,0.000239469,0.000239469
9,8861.22,0.74727,1.02066,1.01632,0.59901,0.31325,0.29913,0.24343,0.63121,0.91433,0.97393,0.000233965,0.000233965,0.000233965
10,9823.27,0.73525,0.99333,1.01006,0.60679,0.2984,0.30823,0.24951,0.63726,0.90579,0.9719,0.00022846,0.00022846,0.00022846
11,10802.4,0.73213,0.98347,1.01078,0.53489,0.34289,0.3278,0.26705,0.60479,0.85886,0.96334,0.000222956,0.000222956,0.000222956
12,11796.9,0.72596,0.96819,1.00469,0.55239,0.33782,0.33552,0.27413,0.59484,0.83939,0.95166,0.000217452,0.000217452,0.000217452
13,12778.1,0.71386,0.94228,1.00235,0.5561,0.3527,0.34006,0.27991,0.59355,0.833,0.96301,0.000211947,0.000211947,0.000211947
14,13765.4,0.70965,0.93295,0.99866,0.55129,0.35566,0.36106,0.296,0.58696,0.791,0.95242,0.000206443,0.000206443,0.000206443
15,14752.5,0.70371,0.90776,0.99992,0.56317,0.34201,0.35401,0.28659,0.58216,0.78146,0.9479,0.000200938,0.000200938,0.000200938
16,15750.2,0.69734,0.90449,0.99143,0.59073,0.35898,0.37235,0.30451,0.56258,0.76281,0.9437,0.000195434,0.000195434,0.000195434
17,16736.5,0.68965,0.89608,0.99074,0.60578,0.37095,0.38526,0.31112,0.56312,0.7513,0.94078,0.00018993,0.00018993,0.00018993
18,17750.5,0.6814,0.88035,0.9874,0.62658,0.37568,0.39894,0.32618,0.54451,0.7288,0.93589,0.000184425,0.000184425,0.000184425
19,18763.8,0.68004,0.86555,0.98332,0.5622,0.42772,0.41473,0.33767,0.54101,0.71861,0.93174,0.000178921,0.000178921,0.000178921
20,19774.5,0.67539,0.85298,0.98299,0.59703,0.40999,0.41647,0.34332,0.54238,0.71559,0.92938,0.000173416,0.000173416,0.000173416
21,20805,0.6659,0.84365,0.98064,0.601,0.41682,0.40712,0.32959,0.54221,0.70754,0.93142,0.000167912,0.000167912,0.000167912
22,21840.5,0.66358,0.83368,0.97957,0.6427,0.43375,0.42673,0.34655,0.53597,0.69702,0.92571,0.000162408,0.000162408,0.000162408
23,22921.5,0.6602,0.81856,0.97239,0.65594,0.41763,0.43484,0.35691,0.52398,0.67772,0.92269,0.000156903,0.000156903,0.000156903
24,23973.8,0.64787,0.80868,0.97227,0.65467,0.45011,0.43513,0.35953,0.5252,0.67292,0.92362,0.000151399,0.000151399,0.000151399
25,25000.9,0.6496,0.8046,0.97271,0.68469,0.43425,0.45898,0.37858,0.50455,0.64675,0.91712,0.000145894,0.000145894,0.000145894
26,26004.5,0.64208,0.80058,0.96679,0.63869,0.44278,0.45371,0.37571,0.50324,0.65094,0.91323,0.00014039,0.00014039,0.00014039
27,27037,0.6357,0.78791,0.96719,0.66875,0.44301,0.4763,0.39329,0.50412,0.63226,0.91347,0.000134886,0.000134886,0.000134886
28,28074,0.63748,0.77573,0.96671,0.70477,0.4522,0.47748,0.39979,0.49937,0.61649,0.91119,0.000129381,0.000129381,0.000129381
29,29082.8,0.63367,0.77462,0.96223,0.72745,0.45468,0.48216,0.40154,0.49545,0.61408,0.90829,0.000123877,0.000123877,0.000123877
30,30114.8,0.62335,0.75899,0.96178,0.74877,0.45481,0.48296,0.40694,0.48271,0.58845,0.90436,0.000118372,0.000118372,0.000118372
31,31114.1,0.62326,0.75169,0.96132,0.73737,0.46482,0.50685,0.42102,0.48114,0.57938,0.90328,0.000112868,0.000112868,0.000112868
32,32133.2,0.62124,0.75274,0.9591,0.68897,0.4991,0.51383,0.4291,0.47844,0.58587,0.90327,0.000107364,0.000107364,0.000107364
33,33162.2,0.61642,0.73722,0.95783,0.73906,0.49044,0.51746,0.43389,0.47264,0.56561,0.8994,0.000101859,0.000101859,0.000101859
34,34179.7,0.60889,0.73536,0.95348,0.74872,0.47303,0.52796,0.44378,0.46805,0.55658,0.89885,9.63548e-05,9.63548e-05,9.63548e-05
